type,artist,album,date,name,id,duration,popularity,url,venue,city,min_price,max_price,days_to_event,hype_score,sellout_risk,description
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Last Kiss (Taylor's Version),59KOoHFcw5XfICnO57holu,369120.0,69.0,https://open.spotify.com/track/59KOoHFcw5XfICnO57holu,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,317960.0,71.0,https://open.spotify.com/track/4hqJ4bSlYJOXb6Z4SRmzxs,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Ours (Taylor’s Version),3yNJkriPzWjkkDAWHIAVUq,235803.0,62.0,https://open.spotify.com/track/3yNJkriPzWjkkDAWHIAVUq,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Superman (Taylor’s Version),4evLyY5Ue1Wesc61t2KXAU,274945.0,60.0,https://open.spotify.com/track/4evLyY5Ue1Wesc61t2KXAU,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4e3ZNTAV6PCrdYMUrUlMpQ,266466.0,64.0,https://open.spotify.com/track/4e3ZNTAV6PCrdYMUrUlMpQ,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,252385.0,63.0,https://open.spotify.com/track/0zo975x58DlXbZllWvfYhg,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,273186.0,72.0,https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),4ABYxlb92WBIjHu7TIKmml,306062.0,64.0,https://open.spotify.com/track/4ABYxlb92WBIjHu7TIKmml,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Lavender Haze,24emu3sabKISjRkrys28jq,202395.0,62.0,https://open.spotify.com/track/24emu3sabKISjRkrys28jq,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Maroon,6qxvy9Pe4RJIq5JBVbbwbS,218270.0,63.0,https://open.spotify.com/track/6qxvy9Pe4RJIq5JBVbbwbS,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Anti-Hero,5qIHFdkW6phMsTZlN2g8Lc,200690.0,63.0,https://open.spotify.com/track/5qIHFdkW6phMsTZlN2g8Lc,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Snow On The Beach (feat. Lana Del Rey),7GA86Uo2jYbj8vIXe2nyWd,256124.0,60.0,https://open.spotify.com/track/7GA86Uo2jYbj8vIXe2nyWd,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,"You're On Your Own, Kid",6PQOU00xWNrGwCZzboriXy,194206.0,63.0,https://open.spotify.com/track/6PQOU00xWNrGwCZzboriXy,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Midnight Rain,4eKMqf9ZMSclDX7V9Ptg7x,174782.0,62.0,https://open.spotify.com/track/4eKMqf9ZMSclDX7V9Ptg7x,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Question...?,7oomkQSYf1ia2VnVEWfFIU,210556.0,60.0,https://open.spotify.com/track/7oomkQSYf1ia2VnVEWfFIU,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Vigilante Shit,0GKDhq6ZbmSbRHd3eyGlB7,164801.0,61.0,https://open.spotify.com/track/0GKDhq6ZbmSbRHd3eyGlB7,,,,,,,,
track,Taylor swift,Midnights (The Til Dawn Edition),2023-05-26,Bejeweled,0VpF6RLdCfPIeYRwMu4tZK,194165.0,62.0,https://open.spotify.com/track/0VpF6RLdCfPIeYRwMu4tZK,,,,,,,,
