record_type,artist,spotify_artist_id,album_id,album_name,album_release_date,track_id,track_name,track_number,disc_number,explicit,duration_ms,popularity,spotify_url,tm_event_name,tm_event_datetime,tm_venue,tm_city,tm_state,tm_country,tm_min_price,tm_max_price,tm_currency,tm_url,tm_attraction_id
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),10,1,False,247533,59,https://open.spotify.com/track/733OhaXQIHY7BKtY3vnSkn,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor’s Version),11,1,False,250100,58,https://open.spotify.com/track/4WBEj8TeGtRPNJdOmT3WJW,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),12,1,False,195700,58,https://open.spotify.com/track/1ULabO0PEsdJekqVH6G10G,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),13,1,False,271000,60,https://open.spotify.com/track/0lKUBmEyQfzsQHozyeXzES,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,6HRsJu8vcnzYDN4t0570FY,Wonderland (Taylor's Version),14,1,False,245566,58,https://open.spotify.com/track/6HRsJu8vcnzYDN4t0570FY,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,0TyGh27YQ5LknmiDhCzJiT,You Are In Love (Taylor's Version),15,1,False,267389,60,https://open.spotify.com/track/0TyGh27YQ5LknmiDhCzJiT,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,5M787RexsAiVYjQusM98CV,New Romantics (Taylor's Version),16,1,False,230177,60,https://open.spotify.com/track/5M787RexsAiVYjQusM98CV,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,0CD7DzeCsuPJygddqlUVYa,"""Slut!"" (Taylor's Version) (From The Vault)",17,1,False,180381,62,https://open.spotify.com/track/0CD7DzeCsuPJygddqlUVYa,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),18,1,False,279833,61,https://open.spotify.com/track/3CCRVu4F91Qp2mnGjmWBrf,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,5QUIK7ZtziW8kGWo8RqopF,Now That We Don't Talk (Taylor's Version) (From The Vault),19,1,False,146436,62,https://open.spotify.com/track/5QUIK7ZtziW8kGWo8RqopF,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,6M9ppdfFjR1AbpUl3Y8DcV,Suburban Legends (Taylor's Version) (From The Vault),20,1,False,171818,59,https://open.spotify.com/track/6M9ppdfFjR1AbpUl3Y8DcV,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),21,1,False,229477,63,https://open.spotify.com/track/6IG3sQ8s9nfk6TUlVzRhbN,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),22,1,False,199773,65,https://open.spotify.com/track/6qAcApH8obo8eqatCKUHd9,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),1,1,False,212600,65,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),2,1,False,231833,71,https://open.spotify.com/track/45wMBGri1PORPjM9PwFfrS,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),3,1,False,231000,74,https://open.spotify.com/track/1hjRhYpWyqDpPahmSlUTlc,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),4,1,False,235800,68,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,6GXgd1BPD9bUpqw5AntGV5,All You Had To Do Was Stay (Taylor's Version),5,1,False,193289,65,https://open.spotify.com/track/6GXgd1BPD9bUpqw5AntGV5,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),6,1,False,219209,68,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,43y1WpBdnEy5TR9aZoSQL9,I Wish You Would (Taylor's Version),7,1,False,207650,63,https://open.spotify.com/track/43y1WpBdnEy5TR9aZoSQL9,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,64FzgoLZ3oXu2SriZblHic,Bad Blood (Taylor's Version),8,1,False,211103,64,https://open.spotify.com/track/64FzgoLZ3oXu2SriZblHic,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),9,1,False,220433,75,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK,,,,,,,,,,,
